pcode,LOC_NUM_PLCS_VIST,LOC_TIME_NONE,LOC_TIME_WORK,LOC_TIME_EATING,LOC_TIME_SOCIAL,LOC_TIME_OTHERS,LOC_TIME_GYM,LOC_TIME_HOME,APP_DUR_ENTER_sum,APP_DUR_ENTER_count,APP_DUR_SOCIAL_sum,APP_DUR_SOCIAL_count,APP_DUR_sum,APP_DUR_count,keyevent_DIST_sum,keyevent_DIST_count,keyevent_TIME_sum,keyevent_TIME_count,keyevent_SOCIAL_DIST_sum,keyevent_SOCIAL_DIST_count,keyevent_ENTER_DIST_sum,keyevent_ENTER_DIST_count,keyevent_INFO_DIST_sum,keyevent_INFO_DIST_count,keyevent_HEALTH_DIST_sum,keyevent_HEALTH_DIST_count,keyevent_WORK_DIST_sum,keyevent_WORK_DIST_count,keyevent_SOCIAL_TIME_sum,keyevent_SOCIAL_TIME_count,keyevent_ENTER_TIME_sum,keyevent_ENTER_TIME_count,keyevent_INFO_TIME_sum,keyevent_INFO_TIME_count,keyevent_HEALTH_TIME_sum,keyevent_HEALTH_TIME_count,keyevent_WORK_TIME_sum,keyevent_WORK_TIME_count,SCR#entropy,SCR#state_changes,SCR#SCREEN_OFF_count,SCR#SCREEN_ON_count,SCR#unknown_count,SCR#dur_SCREEN_OFF,SCR#dur_SCREEN_ON,SCR#dur_unknown,APP_DUR_INFO_sum,APP_DUR_INFO_count,APP_DUR_WORK_sum,APP_DUR_WORK_count,APP_DUR_HEALTH_sum,APP_DUR_HEALTH_count,FitbitStepcount_sum,Fitbitcalorie_sum,Fitbitdistance_sum,ACT#count_ON_BICYCLE,ACT#count_STILL,ACT#count_WALKING,ACT#dur_ON_BICYCLE,ACT#dur_STILL,ACT#dur_WALKING,ACT#count_IN_VEHICLE,ACT#dur_IN_VEHICLE,ACT#count_RUNNING,ACT#dur_RUNNING,MSG_SNT#CNT,MSG_RCV#CNT,MSG#CNT,CALL#CNT,CALL#DUR,next_hour_binary_personal,stress_binary_personal,window_start_time,sleep_duration_sec,sleep_duration_hr,sleep_onset_hour,sleep_midpoint_hour
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.864995,11.0,0.288996,14.0,1575.3660110000003,46.0,196.92715764045715,257.0,100.921,257.0,196.92715764045715,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,100.921,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.0,257.0,0.1269735111439108,7.0,3.0,3.0,251.0,884.0,97.0,2379.0,0.326995,10.0,0.0,0.0,0.0,0.0,121.0,90.23664855957033,136.15049743652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-11-24 09:00:00,,,,
P001,1.0,0.0,31.346833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279870000000001,25.0,1848.31197,58.0,585.1125246286392,514.0,180.671,514.0,585.1125246286392,514.0,0.0,514.0,0.0,514.0,0.0,514.0,0.0,514.0,180.671,514.0,0.0,514.0,0.0,514.0,0.0,514.0,0.0,514.0,0.0612929704136469,6.0,2.0,3.0,509.0,932.0,448.0,1699.0,0.048,4.0,0.133995,6.0,0.0,0.0,257.0,103.6251983642578,289.3600158691406,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-11-24 10:00:00,,,,
P001,3.0,4.1002833333333335,4.353133333333333,0.0,0.0,0.0,0.0,20.6333,0.4919949999999999,9.0,110.31897799999996,41.0,115.167962,75.0,383.7633217573166,340.0,96.061,340.0,368.4786264896393,340.0,0.0,340.0,0.0,340.0,0.0,340.0,0.0,340.0,90.982,340.0,0.0,340.0,0.0,340.0,0.0,340.0,0.0,340.0,0.0865460311733791,8.0,3.0,2.0,335.0,109.0,3.0,3041.0,0.164998,4.0,0.075999,1.0,0.0,0.0,1126.0,163.81924438476562,1267.6802978515625,1.0,3.0,3.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2021-11-24 11:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.285066666666665,3423.066,1.0,0.238997,6.0,3423.5199940000007,14.0,203.23062074184412,195.0,61.897,195.0,203.23062074184412,195.0,0.0,195.0,0.0,195.0,0.0,195.0,0.0,195.0,61.897,195.0,0.0,195.0,0.0,195.0,0.0,195.0,0.0,195.0,0.416187656030154,21.0,10.0,11.0,174.0,2867.0,58.0,137.0,0.004999,1.0,0.0,0.0,0.0,0.0,8.0,121.04120635986328,9.01232624053955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-11-24 12:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.00126666666667,0.008,1.0,0.105999,4.0,1088.9260210000002,17.0,14.89516019821167,28.0,6.503,28.0,14.89516019821167,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,28.0,6.503,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.3068291534409705,3.0,1.0,1.0,26.0,1087.0,1.0,1638.0,1088.469026,5.0,0.0,0.0,0.0,0.0,22.0,160.98916625976562,24.783897399902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-11-24 13:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.83285,0.008999,1.0,0.210995,8.0,0.779985,32.0,18.812559247016907,48.0,6.891,48.0,9.41421353816986,48.0,0.0,48.0,0.0,48.0,0.0,48.0,0.0,48.0,4.952,48.0,0.0,48.0,0.0,48.0,0.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,923.0,0.051,2.0,0.0,0.0,0.0,0.0,75.0,200.39285278320312,84.49055480957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021-11-24 14:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.96666666666667,0.363994,17.0,0.474994,14.0,1.466981,58.0,151.31957471370697,130.0,25.37,130.0,151.31957471370697,130.0,0.0,130.0,0.0,130.0,0.0,130.0,0.0,130.0,25.37,130.0,0.0,130.0,0.0,130.0,0.0,130.0,0.0,130.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,3289.0,0.066998,5.0,0.0,0.0,0.0,0.0,64.0,85.01184844970703,72.09861755371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-24 15:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.448366666666665,0.263995,8.0,0.4069899999999999,13.0,1.17097,47.0,238.7159193754196,198.0,75.488,198.0,222.9126553535461,198.0,0.0,198.0,0.0,198.0,0.0,198.0,0.0,198.0,71.236,198.0,0.0,198.0,0.0,198.0,0.0,198.0,0.0,198.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,3052.0,0.2309909999999999,12.0,0.035,1.0,0.0,0.0,36.0,74.01800537109375,40.55546569824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-24 16:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.521,0.116999,3.0,0.046999,3.0,2.265996,15.0,235.4173394441605,181.0,46.801,181.0,210.03758418560028,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,41.793,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0949403113038862,4.0,2.0,1.0,178.0,0.0,1.0,2225.0,0.023,1.0,0.0,0.0,0.0,0.0,5.0,70.208251953125,5.632704257965088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-11-24 17:00:00,,,,
P001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.07425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,69.33745574951172,10.138867378234863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021-11-24 18:00:00,,,,
